service_date,day_type,bus_boardings,rail_boardings,total_rides
9/1/17,W,827394,760661,1588055
1/17/15,A,539500,417756,957256
1/12/15,W,871183,738697,1609880
1/31/15,A,551745,419577,971322
1/20/15,W,913930,754946,1668876
1/18/15,U,391445,300710,692155
1/2/15,W,656375,527583,1183958
1/29/15,W,898174,760217,1658391
1/6/15,W,771953,679913,1451866
1/21/15,W,905178,756860,1662038
1/27/15,W,913448,764457,1677905
1/1/15,U,300426,287754,588180
1/16/15,W,898222,748177,1646399
1/13/15,W,881226,743774,1625000
1/10/15,A,435672,352140,787812
1/8/15,W,558275,579994,1138269
1/5/15,W,753918,657877,1411795
1/4/15,U,330082,267676,597758
1/15/15,W,899363,760336,1659699
1/14/15,W,885449,742410,1627859
1/23/15,W,902567,747376,1649943
1/24/15,A,538766,415123,953889
1/19/15,W,597347,502376,1099723
1/30/15,W,933971,754968,1688939
1/3/15,A,441327,340135,781462
1/11/15,U,349027,279494,628521
1/28/15,W,922297,763680,1685977
1/9/15,W,715334,639901,1355235
1/22/15,W,903230,761705,1664935
1/25/15,U,339402,279154,618556
1/26/15,W,896430,738965,1635395
1/7/15,W,508815,509075,1017890
2/27/15,W,903421,736663,1640084
2/4/15,W,957218,791399,1748617
2/11/15,W,966071,770885,1736956
2/14/15,A,514916,380652,895568
2/26/15,W,857402,755359,1612761
2/15/15,U,336299,276160,612459
2/25/15,W,905748,752497,1658245
2/3/15,W,947457,806148,1753605
2/7/15,A,600789,439214,1040003
2/8/15,U,399923,298701,698624
2/2/15,W,632367,563770,1196137
2/21/15,A,565948,410400,976348
2/19/15,W,576326,575180,1151506
2/23/15,W,857014,700742,1557756
2/5/15,W,932148,780378,1712526
2/22/15,U,378733,299663,678396
2/9/15,W,936475,750136,1686611
2/17/15,W,912529,745575,1658104
2/24/15,W,901872,728674,1630546
2/28/15,A,542479,405241,947720
2/13/15,W,911949,740559,1652508
2/6/15,W,959648,768091,1727739
2/12/15,W,883395,729249,1612644
2/10/15,W,965833,772727,1738560
2/16/15,W,652807,547767,1200574
2/20/15,W,847700,697600,1545300
2/18/15,W,833785,707746,1541531
2/1/15,U,293689,270615,564304
3/29/15,U,362329,325865,688194
3/1/15,U,383971,293964,677935
3/7/15,A,585771,427330,1013101
3/2/15,W,912384,715945,1628329
3/12/15,W,953310,790210,1743520
3/5/15,W,909192,744229,1653421
3/23/15,W,817246,693264,1510510
3/27/15,W,888293,726738,1615031
3/19/15,W,928929,771127,1700056
3/16/15,W,939583,768218,1707801
3/10/15,W,953173,767551,1720724
3/15/15,U,432055,362045,794100
3/28/15,A,539031,429689,968720
3/13/15,W,950690,801547,1752237
3/3/15,W,904439,735951,1640390
3/26/15,W,925361,736687,1662048
3/21/15,A,566447,447493,1013940
3/11/15,W,955083,778171,1733254
3/20/15,W,932331,760906,1693237
3/24/15,W,904344,727888,1632232
3/14/15,A,605758,673707,1279465
3/18/15,W,937056,771625,1708681
3/22/15,U,383134,306283,689417
3/30/15,W,903992,736692,1640684
3/8/15,U,399324,309962,709286
3/31/15,W,922487,753405,1675892
3/6/15,W,909446,732902,1642348
3/17/15,W,934438,770081,1704519
3/9/15,W,935951,752995,1688946
3/25/15,W,916538,734311,1650849
3/4/15,W,928771,750369,1679140
5/9/15,A,572064,455436,1027500
4/12/15,U,410420,332334,742754
5/8/15,W,916218,780602,1696820
5/20/15,W,906942,760399,1667341
4/22/15,W,925517,780432,1705949
4/23/15,W,935537,799888,1735425
5/5/15,W,918652,769751,1688403
5/1/15,W,993931,835711,1829642
5/16/15,A,561092,493377,1054469
5/28/15,W,925094,787104,1712198
4/18/15,A,599954,503902,1103856
4/29/15,W,934550,793551,1728101
5/3/15,U,435591,379014,814605
4/16/15,W,890058,791213,1681271
4/24/15,W,912926,782626,1695552
5/2/15,A,629640,548837,1178477
5/23/15,A,575386,501879,1077265
4/4/15,A,582015,427101,1009116
5/22/15,W,908692,760362,1669054
5/18/15,W,908842,761991,1670833
5/19/15,W,902867,759919,1662786
4/5/15,U,393690,327292,720982
5/17/15,U,415263,373832,789095
4/28/15,W,941909,789018,1730927
4/27/15,W,925541,769888,1695429
4/21/15,W,931681,779658,1711339
5/21/15,W,921476,784762,1706238
4/10/15,W,828661,757159,1585820
4/6/15,W,807389,711923,1519312
5/30/15,A,481814,428464,910278
4/11/15,A,586791,469045,1055836
5/31/15,U,388866,351159,740025
